"Amitabh Bachchan, Jaya Bhaduri Bachchanÿ"
Shahrukh khan
Aamir Khan
"Akshay Kumar, Twinkle Khanna"
"Ajay Devgan, Kajol"
"Hrithik Roshan, Sussanne Khan"
"Saif Ali Khan, Amrita Singh"
"Abhishek Bachchan,  Aishwarya Rai"
"Ritesh Deshmukh, Genelia D'Souza"
Chitrangada Singh
Madhuri Dixit
Sridevi
Juhi Chawla
Vivek Oberoi
Arjun Rampal
Farhan Akhtar
Emraan Hashmi
Jimmy Shergil
Anil Kapoor
Sanjay Dutt
Govinda
Irrfan Khan
Rajnikanth
Jackie Shroff
"Dharamendra, 1st Wife-Prakash Kaur"
"Dharamendra, 2nd Wife-Hema Malini"
Arbaaz Khan
Sunny Deol
Bobby Deol
Sunil Shetty
Sharman Joshi
Arshad Warsi
Shakti Kapoor
Karisma Kapoor
Shilpa Shetty
"Rajesh Khanna, Dimple Kapadia"
Shashi Kapoor
"Rishi Kapoor, Neetu Singh "
Randhir Kapoor
Boman Irani
Raj Babbar
Raj Kapoor
"Javed Akhtar, Shabana Azmi"
Konkona Sen Sharma
Sharmila Tagore
Nutan
Zeenat Aman
Meena Kumari
"Anupam Kher, Kirron Kher"
"Sunil Dutt, Nargis"
Shammi Kapoor
Amrish Puri
Manoj Kumar
Mithun Chakraborty
Nana Patekar
Manoj Bajpai
Paresh Rawal
Kadar Khan
Kishore Kumar
Om Puri
Vinod Khanna
Jitendra
Feroz Khan
Madhavan
Farooq Sheikh
Danny Denzogpa
Prem Chopra
Rakesh Roshan
Naseerudin Shah
Shekhar Suman
Kamal Hassan
Prakash Raj
Ronit Roy
