Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0149573,2017-04-13,2021-05-22,"This is the first epic in Indian Music History, I think. Every single song.

Dilka alam main kya batau tujhe, ek cheherene bahut pyar se dekha mujhe....

Jaane jigar jaaneman, tujhko hai meri kasam, tujo mujhe na mila marjaungi main sanam... janam jaane jaa... oh what a song.

Main dunya bhula dunga tere chahat main...

Bass ek sanam chahiye ashiqui ke liye...

Nazar ke samne jigar paas koi rehta hai woh ho tum...

Dheere dheere se mere zindagi mein ana, dheere dheere se dilko churana...

Abtere bin jeelenge hum, zeher zindagi ka peelenge hum... one of the greatest broken heart songs.

And my personal favorite: Tu... meri zindagi hai... tu... meri har khushi hai, tuhi pyar tuhi chaaat, tuhi ashiqi hai... Pehli mohabbat ka ehsas hai tu.. bujhke jo bujhna payi woh pyas hai tu...

The music was a cult hit and the hairstyle of [link=nm0747149]. It was called Rahul cutting in Bangladesh's most of the saloon.

Introducing the voice of [link=nm0764384].

Introducing mega-hit by Nadeem Shravan.",Aashiqui,https://www.imdb.com/title/tt0149573/,movie,6.3,152,1990,"Musical, Drama, Romance",1745,1990-07-23,Mahesh Bhatt
2,tt0156985,2021-03-03,2021-03-08,"Rehne ko ghar nahin sone ko bistar nahin, apna khuda hai rakhwala...

Hum tere bin kahin reh nahin pate, tum nahin aate to hum mar jaate... [link=nm0542317]

Tak dhin dhin tak, tak dhin dhin tak, milte hi tujhe dil nacch utha...

Zamane ke dekhe hai rang hazaar...

Tumhein Apna Banaane Ki... [link=nm0764384]

Jab jab pyar pe pehra hua hai, pyar aur bhi gehra, gehra, gehra, gehra hua hai...

Our first audio cd cassette when I was in class 6 may be, it was 1998. It was the only cd cassette we had that time so listening to this was a daily routine. I miss those days a lot.

The movie was also a cult hit because of its music from Nadeem-Shravan and the villain, cult villain in the history of Bollywood, [link=nm0025389].",Sadak,https://www.imdb.com/title/tt0156985/,movie,6.4,134,1991,"Action, Drama, Romance, Thriller",2527,1991-12-20,Mahesh Bhatt
3,tt0213753,2018-11-20,2021-05-22,"Epic music by [link=nm0006246].

Ae nazneen sunona... what a song, what a location. [link=nm0008711]

Imteha hum pyar ke leke raha dekhe kya hai natija... Dola dola dola mann dola dola dola...  what a devine voice of [link=nm0820204], I loved the lady voice [link=nm0841913]

Roja roja roja roja roja meri roja... ek nazar mein kho gaya dil pai tujhme pyar ki manzil... [link=nm0881291]

The movie is also a very cute love story. Sadly the hero is dead in real.

Hindi name is: Dil Hi DIl Mein.",Kadhalar Dinam,https://www.imdb.com/title/tt0213753/,movie,6.4,147,1999,"Drama, Musical, Romance",644,1999-07-09,Kathir
4,tt0114234,2021-03-04,2021-03-04,"Rangeela Re...

Hai Rama...

Kya Kare Kya Na Kare...

Tanha Tanha Yahan Pe Jeena...

Pyar Ye Jaane Kaisa...

Yaaro Sun Lo Zara...

Mangta Hai Kya...

A cult musical hit.

One of my most favorite movies.

[link=nm0006246] Aamir Khan, Ram Gopal, Jackie, what a combination.

This movie is an art.",Rangeela,https://www.imdb.com/title/tt0114234/,movie,7.5,142,1995,"Comedy, Drama, Musical, Romance",9607,1995-09-08,Ram Gopal Varma
5,tt0193102,2018-11-29,2021-03-15,"Just unforgettable music ever...

Dil Ka Kya Kasoor...

Milne Ki Tum Koshish Karna... [link=nm0080427]

Mera Sanam Sab Se Pyara Hai...

Dil Jiger Nazar Kya Hai... personal favorite

Khata To Jab Ho Ke...

Ga Raha Hoon Is Mehfil Mein...

[link=nm0764384] triumphant.

Nadeem-Shravan",Dil Ka Kya Kasoor,https://www.imdb.com/title/tt0193102/,movie,5.8,157,1992,"Musical, Romance",209,1992-01-14,Lawrence D'Souza
6,tt0328998,2017-04-13,2021-03-03,"Dil Laga Liya Maine Tumse Pyar Karke...

Kasam Khake Kaho, muskurake kaho, dil lagake kaho, tumko humse pyar hai... personal favoite.

O sahiba, O sahiba, milenge tumko toh batayenge ke kitna pyar hai humen...

Mohabbat Dil Ka Sakoon Hai Aetbar...

Mastaana mausam hai, rangeen nazaara
Dhadkan kya kehti hai, samjho ishaara
Aaj se jaaneman dil hai tumhaara... Singer: [link=nm0764384], [link=nm0621257], [link=nm0003504]",Dil Hai Tumhaara,https://www.imdb.com/title/tt0328998/,movie,5.4,210,2002,"Drama, Romance",1827,2002-09-06,Kundan Shah
7,tt0193449,2018-11-29,2021-03-15,"Tumhein Dekhen Meri Aankhein...

Teri Mohabbat Ne Dilme Makan Karliya... [link=nm0764384]

Tujhe Na Dekhoon...

Dil Cheer Ke Dekh Tera Hi Naam Hoga...

Nadeem-Shravan",Rang,https://www.imdb.com/title/tt0193449/,movie,4.9,150,1993,"Drama, Romance",205,1993-07-09,Talat Jani
8,tt0106270,2019-04-25,2021-03-04,"Choti si pyari si nannhi si ayi koi pari.... greatest children song. Both version, child version and [link=nm0621257] version.

Kya mausam aya hai... super nature song. what a voice, [link=nm0765071]

Rona Chahe Ro Na Paye... sad song

Jane jaaa jane jaaa rab teri duhai... super sad song.

[link=nm0893142] became my favorite actor.

Personal favorite movie + songs + comedy of [link=nm0505323] & [link=nm0073426]. 10/10",Anari,https://www.imdb.com/title/tt0106270/,movie,4.9,171,1993,"Comedy, Drama, Romance",458,1993-05-26,K. Muralimohana Rao
9,tt0238936,2019-04-24,2021-03-04,"Every single song. Gorgeous music. Gorgeous set. This movie is an art

Hamesha tumko chaha chaha chaha aur chaha...

Bairi piya barare be dardi...

Shesheko sheesha takraye.....

Silsila yeh chahat ka na maine bujhne dia ooo mmm... what a music [link=nm0200930]",Devdas,https://www.imdb.com/title/tt0238936/,movie,7.6,185,2002,"Drama, Musical, Romance",40573,2002-05-23,Sanjay Leela Bhansali
10,tt0112553,2017-04-13,2021-03-03,"Every single song.

AR Rahman's debut Hindi.

Tuhire tuhire tere bina main kaise jeeun... [link=nm0363028]... what a voice

Kehna hi kya yeh nain ek anjan si....

Kucchi kuchi rakma paas aye na...

and one and only - ""Bombay theme""",Bombay,https://www.imdb.com/title/tt0112553/,movie,8.1,141,1995,"Drama, Romance",12193,1995-03-10,Mani Ratnam
11,tt0156891,2019-04-11,2021-02-17,"These songs in a moonlit night, alone or with my love...

Tere dar par sanam chale aye...

Baadalon mein chup raha hai chand kyun...

Aane wala kal ek sapna hai gujra hua kal bas apna hai....",Phir Teri Kahani Yaad Aayee,https://www.imdb.com/title/tt0156891/,movie,5.8,105,1993,"Romance, Drama",280,1993-06-30,Mahesh Bhatt
12,tt0117437,2019-04-25,2021-03-15,"Every song is super.

Udit narayan at his best.

Aye ho mere zindagime tum bahar banke...

Pucho zara pucho mujhe kya hua hai....

Kitna pyara tujhe rab ne banaya jee kare dekhta rahoon...

Uff kya raat ayi hai mohabbat rang layi hai... Hum jashn manayenge, Sagar chalkayenge, Na hoshme ayenge... Tere Ishqme nachenge... dum dum diga diga... A cult hit

Childhood favorite.

Nadeem-Shravan.",Raja Hindustani,https://www.imdb.com/title/tt0117437/,movie,6.2,177,1996,"Action, Comedy, Drama, Musical, Romance",7433,1996-11-08,Dharmesh Darshan
13,tt0299108,2017-04-13,2021-03-03,"Zara zara... [link=nm1425113]

RHTDM...

O mama mama, hum sare hai mumbaiya...

Sach keh raha hai dewana, dil, dilna kisise lagana... heart broken song. [link=nm0433881]

Dil ko tumse pyar hua, pehli baar hua tumse pyar hua... personal favorite. Singer [link=nm0711756]",Rehnaa Hai Terre Dil Mein,https://www.imdb.com/title/tt0299108/,movie,7.6,160,2001,"Musical, Romance",7994,2001-10-19,Gautham Vasudev Menon
14,tt0105271,2018-11-20,2021-03-03,"Roja janeman, tu hi mera dil, tujh bin kaise jeena...  

Yeh haseen wadiyan yeh khula asmaan...

[link=nm0004416]... what a voice

Dil hai chota sa, choti si asha...",Roja,https://www.imdb.com/title/tt0105271/,movie,8.2,137,1992,"Drama, Romance, Thriller",12448,1992-08-15,Mani Ratnam
15,tt0099429,2021-03-04,2021-03-04,"Mujhe Neend Na Aaye...

Hum Pyaar Karne Wale, Dunya Se Na Darne Wale...

Hum Ne Ghar Chora Hai...

Khambe Jaise Khari Hai...

O Priyaa Priyaa, Kyun Bhula Diya...",Dil,https://www.imdb.com/title/tt0099429/,movie,6.7,172,1990,"Comedy, Drama, Romance",5176,1990-06-22,Indra Kumar
