Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0706787,2014-09-14,2014-09-14,,Aishwarya Rai Bachchan,Jodhaa Akbar,1973-11-01
2,nm2138653,2014-09-14,2014-09-14,"Deepika Padukone is an Indian actress and model. She appears mostly in Hindi films, as well as Tamil and Kannada language films. Born to badminton player Prakash Padukone, she chose to become an actress.",Deepika Padukone,Chennai Express,1986-01-05
3,nm0784047,2014-09-14,2014-09-14,Sushmita Sen is an Indian actress and model. She was crowned Miss Universe 1994 by outgoing title holder Dayanara Torres of Puerto Rico at the 43rd edition of the Miss Universe Pageant,Sushmita Sen,Main Hoon Na,1975-11-19
4,nm1069850,2014-09-14,2014-09-14,"Dia Mirza, nicknamed Dee is a Indian model and actress who appears in Bollywood films. The actress along with her boyfriend Sahil Sangha and good friend Zayed Khan has started her own production house",Dia Mirza,Kaafir,1981-12-09
5,nm1231899,2014-09-14,2014-09-14,"Priyanka Chopra, Miss World 2000 made her debut in Bollywood films with 'The Hero'. Born in Jamshedpur, the extremely beautiful, sensuous, hot model-cum-actress has achieved a lot in a short time. She is the only Indian in USA to have been selected at state level for the National opus Honour choir.",Priyanka Chopra Jonas,Baywatch,1982-07-18
6,nm5069465,2014-09-14,2014-09-14,Diana Penty is an Indian model and actress who made her film debut in Homi Adajania's film Cocktail,Diana Penty,Cocktail,1985-11-02
7,nm3713653,2014-09-14,2014-09-14,"Kriti Kharbanda is an Indian film actress who appears in Kannada and Telugu films. She made her debut with the Telugu film, Boni",Kriti Kharbanda,Super Ranga,
8,nm1182255,2014-09-14,2014-09-14,"Sweet and dainty Amrita Rao, from a Chitrapur Saraswat Brahmin family was always fascinated by acting. Her first modeling assignment was for Fairever fairness cream and within a couple of months, she became a model for many top brand companies and did nearly 35 ad films. Cadbury's Perk and Bru coffee ads offered her a platform to step into the film industry. The pretty lass debuted in the film 'Ab Ke Baras' (2002)",Amrita Rao,Main Hoon Na,1981-06-07
9,nm2570245,2014-09-14,2014-09-14,"Kajal Aggarwal is an Indian film actress, who appears in Telugu, Tamil and Hindi films. Kajal made her film debut in the 2004 Bollywood film Kyun...! Ho Gaya Na and entered the Telugu film industry through the film Lakshmi Kalyanam.",Kajal Aggarwal,Thuppakki,1985-06-19
10,nm2606820,2014-09-14,2014-09-14,"Vimala Raman is an Indian film actress, model and a trained Bharatanatyam dancer. She made her acting debut in the 2006 Tamil film Poi and went on to appear primarily in Malayalam and Telugu films.",Vimala Raman,Dam999,
11,nm3606487,2014-09-14,2014-09-14,"Samantha Ruth Prabhu is an Indian film actress and model who appears in Telugu and Tamil films. Born to Malayali and Telugu parents, Samantha was brought up in Chennai and pursued a career in modeling during her late teens.",Samantha Ruth Prabhu,Ye Maaya Chesave,1987-04-28
12,nm1069034,2014-09-14,2014-09-14,Lara Dutta Bhupathi is an Indian Bollywood actress and former Miss Universe. She made her Hindi debut in 2003 with the film Andaaz which was a box office success and won her a Filmfare Best Female Debut Award.,Lara Dutta,Don 2,1978-04-16
13,nm4727357,2014-09-14,2014-09-14,"Rani Mukerji is an Indian film actress who works in Hindi movies. Born to the Mukherjee-Samarth family, she made her acting debut with a cameo appearance in the Bengali film Biyer Phool, on the insistence of her mother.",Rani Mukherjee,Tumhare Liye,
14,nm1821791,2014-09-14,2014-09-14,,Asin Thottumkal,Ghajini,1985-10-26
15,nm1229940,2014-09-14,2014-09-14,,Katrina Kaif,Zindagi Na Milegi Dobara,1984-07-16
16,nm1299510,2014-09-14,2014-09-14,,Genelia D'Souza,Jaane Tu... Ya Jaane Na,1987-08-05
17,nm3848064,2014-09-14,2014-09-14,,Sonakshi Sinha,Holiday,1987-06-02
18,nm2128238,2014-09-14,2014-09-14,,Sonam Kapoor,Neerja,1985-06-09
19,nm3087728,2014-09-14,2014-09-14,,Anushka Sharma,PK,1988-05-01
20,nm1328152,2014-09-14,2014-09-14,,Shriya Saran,Drishyam,1982-09-11
21,nm3668216,2014-09-14,2014-09-14,,Nargis Fakhri,Spy,1979-10-20
22,nm0534870,2014-09-14,2014-09-14,,Madhubala,Mughal-E-Azam,1933-02-14
23,nm0716851,2014-09-14,2014-09-14,,Waheeda Rehman,Guide,1938-02-03
24,nm0904537,2014-09-14,2014-09-14,,Vyjayanthimala,Devdas,1933-08-13
25,nm0004564,2014-09-14,2014-09-14,,Hema Malini,Baghban,1948-10-16
26,nm0006689,2014-09-14,2014-09-14,,Preity Zinta,Veer-Zaara,1975-01-31
27,nm0004487,2014-09-14,2014-09-14,,Juhi Chawla,Darr,1967-11-13
28,nm1779702,2014-09-14,2014-09-14,,Ayesha Takia,Dor,1986-04-10
29,nm1229940,2014-09-14,2014-09-14,,Katrina Kaif,Zindagi Na Milegi Dobara,1984-07-16
30,nm0004334,2014-09-14,2014-09-14,,Rekha,Koi... Mil Gaya,1954-10-10
31,nm0002043,2014-09-14,2014-09-14,,Madhuri Dixit,Devdas,1967-05-15
32,nm0004437,2014-09-14,2014-09-14,,Sridevi,English Vinglish,1963-08-13
33,nm0223563,2014-09-14,2014-09-14,,Poonam Dhillon,Ekk Nayi Pehchaan,1962-04-18
34,nm1799038,2014-09-14,2014-09-14,,Vidya Balan,Kahaani,1979-01-01
35,nm0849199,2014-09-14,2014-09-14,,Raveena Tandon,Aks,1974-10-26
36,nm0784047,2014-09-14,2014-09-14,,Sushmita Sen,Main Hoon Na,1975-11-19
37,nm0151293,2014-09-14,2014-09-14,,Leena Chandavarkar,Rakhwala,1950-08-29
38,nm0080324,2014-09-14,2014-09-14,,Pooja Bhatt,Zakhm,1972-02-24
39,nm0814193,2014-09-14,2014-09-14,,Sonam,Aakhri Adaalat,1972-09-02
40,nm0464075,2014-09-14,2014-09-14,,Padmini Kolhapure,Prem Rog,1965-11-01
41,nm0792866,2014-09-14,2014-09-14,,Meenakshi Sheshadri,Jurm,1963-11-16
42,nm2144007,2014-09-14,2014-09-14,,Kangana Ranaut,Queen,1987-03-20
43,nm1318999,2014-09-14,2014-09-14,,Yana Gupta,Four Lions,1979-04-23
44,nm0712908,2014-09-14,2014-09-14,,Lisa Ray,Water,1972-04-04
45,nm0006433,2014-09-14,2014-09-14,,Karisma Kapoor,Dil To Pagal Hai,1974-06-25
46,nm0624174,2014-09-14,2014-09-14,,Neelam Kothari,Hatya,1968-03-03
47,nm2596365,2014-09-14,2014-09-14,,Jacqueline Fernandez,Kick,1985-08-11
48,nm0784042,2014-09-14,2014-09-14,,Suchitra Sen,Saptapadi,1931-04-06
49,nm0846616,2014-09-14,2014-09-14,,Sharmila Tagore,Abar Aranye,1944-12-08
50,nm0611552,2014-09-14,2014-09-14,,Rani Mukerji,Black,1978-03-21
51,nm0004418,2014-09-14,2014-09-14,,Kajol,Kuch Kuch Hota Hai,1974-08-05
