Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm2011932,2017-01-24,2017-01-24,,Anushka Shetty,Bãhubali 2: The Conclusion,1981-11-07
2,nm1521381,2017-01-24,2017-01-24,,Nayanthara,Iru Mugan,1984-11-18
3,nm3606487,2017-01-24,2017-01-24,,Samantha Ruth Prabhu,Ye Maaya Chesave,1987-04-28
4,nm1375534,2017-01-24,2017-01-24,,Trisha Krishnan,96,1983-05-04
5,nm2570245,2017-01-24,2017-01-24,,Kajal Aggarwal,Thuppakki,1985-06-19
6,nm2299825,2017-01-24,2017-01-24,,Ileana D'Cruz,Barfi!,1987-11-01
7,nm1961459,2017-01-24,2017-01-24,,Tamannaah Bhatia,Bãhubali: The Beginning,1989-12-21
8,nm1821791,2017-01-24,2017-01-24,,Asin Thottumkal,Ghajini,1985-10-26
9,nm1599046,2017-01-24,2017-01-24,,Shruti Haasan,7 Aum Arivu,1986-01-28
10,nm1394426,2017-01-24,2017-01-24,,Hansika Motwani,Desamuduru,1991-08-09
11,nm1328152,2017-01-24,2017-01-24,,Shriya Saran,Drishyam,1982-09-11
12,nm3383930,2017-01-24,2017-01-24,,Nithya Menen,Mersal,
13,nm7146337,2017-01-24,2017-01-24,,Keerthy Suresh,Mahanati,1992-10-17
14,nm5114849,2017-01-24,2017-01-24,,Rakul Preet Singh,Nannaku Prematho,1990-10-10
15,nm1299510,2017-01-24,2017-01-24,,Genelia D'Souza,Jaane Tu... Ya Jaane Na,1987-08-05
16,nm3966456,2017-01-24,2017-01-24,,Taapsee Pannu,Pink,1987-08-01
17,nm2601111,2017-01-24,2017-01-24,,Nazriya Nazim,Bangalore Days,
18,nm3898762,2017-01-24,2017-01-24,,Amala Paul,Mynaa,1991-10-26
19,nm5637317,2017-01-24,2017-01-24,,Raashi Khanna,Madras Cafe,1990-11-30
20,nm2527173,2017-01-24,2017-01-24,,Parvathy Thiruvothu,Ennu Ninte Moideen,1988-04-07
21,nm5528429,2017-01-24,2017-01-24,,Catherine Tresa,Madras,
22,nm1952830,2017-01-24,2017-01-24,,Mamta Mohandas,King,
23,nm1418952,2017-01-24,2017-01-24,,Bhavana,Chithiram Pesuthadi,
24,nm3945751,2017-01-24,2017-01-24,,Deeksha Seth,Vedam,1990-02-14
25,nm0998044,2017-01-24,2017-01-24,,Sneha,Achchamundu! Achchamundu!,1981-10-12
26,nm5294556,2017-01-24,2017-01-24,,Regina Cassandra,Thalaivi,1988-12-13
27,nm3834123,2017-01-24,2017-01-24,,Richa Langella,Leader,1986-03-20
28,nm0154653,2017-01-24,2017-01-24,,Bhoomika Chawla,Tere Naam,1978-08-21
29,nm1632859,2017-01-24,2017-01-24,,Sada,Anniyan,1984-02-17
30,nm2843559,2017-01-24,2017-01-24,,Raai Laxmi,Mankatha,1989-05-05
31,nm3153204,2017-01-24,2017-01-24,,Adah Sharma,1920,1992-05-11
32,nm5711339,2017-01-24,2017-01-24,,Amyra Dastur,Anegan,1993-05-07
33,nm3912256,2017-01-24,2017-01-24,,Pranitha,Brahma,
34,nm1140669,2017-01-24,2017-01-24,,Aarthi Agarwal,Indra,1984-03-05
35,nm0433392,2017-01-24,2017-01-24,,Jyotika,Chandramukhi,1978-10-18
36,nm1421465,2017-01-24,2017-01-24,,Priyamani,Paruthiveeran,1984-06-04
37,nm3592766,2017-01-24,2017-01-24,,Anjali,Engeyum Eppodhum,1986-06-16
38,nm3591550,2017-01-24,2017-01-24,,Priya Anand,English Vinglish,1986-09-17
39,nm1711203,2017-01-24,2017-01-24,,Lakshmi Manchu,Gundello Godari,
40,nm3713653,2017-01-24,2017-01-24,,Kriti Kharbanda,Super Ranga,
41,nm5706132,2017-01-24,2017-01-24,,Radhika Pandit,Mr. And Mrs. Ramchari,
42,nm4291439,2017-01-24,2017-01-24,,Ragini Dwivedi,Kempe Gowda,
43,nm1631667,2017-01-24,2017-01-24,,Ramya,Just Maath Maathalli,1982-11-29
44,nm3367112,2017-01-24,2017-01-24,,Amy Jackson,2.0,1992-01-31
45,nm3766040,2017-01-24,2017-01-24,,Aindrita Ray,Bhajarangi,
46,nm2940529,2017-01-24,2017-01-24,,Sanjjanaa Galrani,Mandya to Mumbai,
47,nm4214601,2017-01-24,2017-01-24,,Nisha Agarwal,Saradaga Ammayitho,
48,nm0534858,2017-01-24,2017-01-24,,Kavya Madhavan,Khaddama,1984-09-19
49,nm0996625,2017-01-24,2017-01-24,,Charmme Kaur,Pournami,1987-05-17
50,nm1307939,2017-01-24,2017-01-24,,Meera Jasmine,Padam Onnu Oru Vilapam,1982-02-15
